"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","261,649,873","±16,002","261,649,873","(X)"
"        In labor force","165,902,838","±134,269","63.4%","±0.1"
"            Civilian labor force","164,759,496","±130,525","63.0%","±0.1"
"                Employed","155,888,980","±146,115","59.6%","±0.1"
"                Unemployed","8,870,516","±32,738","3.4%","±0.1"
"            Armed Forces","1,143,342","±10,065","0.4%","±0.1"
"        Not in labor force","95,747,035","±128,927","36.6%","±0.1"
"    Civilian labor force","164,759,496","±130,525","164,759,496","(X)"
"        Unemployment Rate","(X)","(X)","5.4%","±0.1"
"    Females 16 years and over","134,001,493","±11,990","134,001,493","(X)"
"        In labor force","78,484,558","±78,424","58.6%","±0.1"
"            Civilian labor force","78,314,931","±78,294","58.4%","±0.1"
"                Employed","74,173,483","±86,229","55.4%","±0.1"
"    Own children of the householder under 6 years","22,558,766","±19,078","22,558,766","(X)"
"        All parents in family in labor force","15,045,945","±40,545","66.7%","±0.2"
"    Own children of the householder 6 to 17 years","46,908,286","±21,299","46,908,286","(X)"
"        All parents in family in labor force","33,697,040","±55,563","71.8%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","153,665,654","±161,649","153,665,654","(X)"
"        Car, truck, or van -- drove alone","115,127,720","±133,106","74.9%","±0.1"
"        Car, truck, or van -- carpooled","13,605,122","±67,029","8.9%","±0.1"
"        Public transportation (excluding taxicab)","7,044,886","±24,343","4.6%","±0.1"
"        Walked","3,954,692","±17,264","2.6%","±0.1"
"        Other means","2,780,139","±17,056","1.8%","±0.1"
"        Worked from home","11,153,095","±40,724","7.3%","±0.1"
"        Mean travel time to work (minutes)","26.9","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","155,888,980","±146,115","155,888,980","(X)"
"        Management, business, science, and arts occupations","61,526,906","±258,624","39.5%","±0.1"
"        Service occupations","27,095,654","±84,986","17.4%","±0.1"
"        Sales and office occupations","33,247,878","±57,962","21.3%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,620,436","±54,073","8.7%","±0.1"
"        Production, transportation, and material moving occupations","20,398,106","±46,682","13.1%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","155,888,980","±146,115","155,888,980","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,658,413","±17,138","1.7%","±0.1"
"        Construction","10,416,196","±48,827","6.7%","±0.1"
"        Manufacturing","15,617,461","±45,683","10.0%","±0.1"
"        Wholesale trade","3,971,773","±17,008","2.5%","±0.1"
"        Retail trade","17,195,083","±40,788","11.0%","±0.1"
"        Transportation and warehousing, and utilities","8,576,862","±22,830","5.5%","±0.1"
"        Information","3,066,743","±17,290","2.0%","±0.1"
"        Finance and insurance, and real estate and rental and leasing","10,319,201","±35,700","6.6%","±0.1"
"        Professional, scientific, and management, and administrative and waste management services","18,312,454","±48,359","11.7%","±0.1"
"        Educational services, and health care and social assistance","36,315,080","±126,693","23.3%","±0.1"
"        Arts, entertainment, and recreation, and accommodation and food services","14,651,909","±55,623","9.4%","±0.1"
"        Other services, except public administration","7,516,616","±26,997","4.8%","±0.1"
"        Public administration","7,271,189","±39,365","4.7%","±0.1"
"CLASS OF WORKER","","","",""
"    Civilian employed population 16 years and over","155,888,980","±146,115","155,888,980","(X)"
"        Private wage and salary workers","124,611,544","±76,414","79.9%","±0.1"
"        Government workers","21,743,101","±122,967","13.9%","±0.1"
"        Self-employed in own not incorporated business workers","9,243,835","±27,761","5.9%","±0.1"
"        Unpaid family workers","290,500","±4,834","0.2%","±0.1"
"INCOME AND BENEFITS (IN 2020 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Total households","122,354,219","±211,970","122,354,219","(X)"
"        Less than $10,000","7,145,751","±24,748","5.8%","±0.1"
"        $10,000 to $14,999","5,020,097","±17,141","4.1%","±0.1"
"        $15,000 to $24,999","10,359,700","±25,168","8.5%","±0.1"
"        $25,000 to $34,999","10,569,484","±29,382","8.6%","±0.1"
"        $35,000 to $49,999","14,690,382","±33,151","12.0%","±0.1"
"        $50,000 to $74,999","21,034,779","±45,045","17.2%","±0.1"
"        $75,000 to $99,999","15,613,243","±47,722","12.8%","±0.1"
